ID,Replicate,Expression,Strain,Generation,Group,Expression_mm
M1152,V1,65244.542,M1152,M1152,M1152,65.244542
M1152,V2,71815.032,M1152,M1152,M1152,71.815032
M1152,V3,63688.595,M1152,M1152,M1152,63.688595
Y1P062,V1,0,Y1P062,Y1,P062,0
Y1P062,V2,9645.217,Y1P062,Y1,P062,9.645217
Y1P062,V3,0,Y1P062,Y1,P062,0
Y1P062,V4,0,Y1P062,Y1,P062,0
Y1P125,V1,0,Y1P125,Y1,P125,0
Y1P125,V2,1148.377,Y1P125,Y1,P125,1.148377
Y1P125,V3,2313.811,Y1P125,Y1,P125,2.313811
Y1P125,V4,869.362,Y1P125,Y1,P125,0.869362
Y1P125,V5,780.307,Y1P125,Y1,P125,0.780307
Y1P188,V1,0,Y1P188,Y1,P188,0
Y1P188,V2,0,Y1P188,Y1,P188,0
Y1P188,V3,0,Y1P188,Y1,P188,0
Y1P188,V4,0,Y1P188,Y1,P188,0
Y2P062,V1,5711.9,Y2P062,Y2,P062,5.7119
Y2P062,V2,2588.157,Y2P062,Y2,P062,2.588157
Y2P062,V3,1917.552,Y2P062,Y2,P062,1.917552
Y2P062,V4,955.903,Y2P062,Y2,P062,0.955903
Y2P062,V5,1583.058,Y2P062,Y2,P062,1.583058
Y2P062,V6,1304.941,Y2P062,Y2,P062,1.304941
Y2P125,V1,4887.963,Y2P125,Y2,P125,4.887963
Y2P125,V2,12418.307,Y2P125,Y2,P125,12.418307
Y2P125,V3,29678.792,Y2P125,Y2,P125,29.678792
Y2P125,V4,2495.332,Y2P125,Y2,P125,2.495332
Y2P188,V1,3230.753,Y2P188,Y2,P188,3.230753
Y2P188,V2,4641.626,Y2P188,Y2,P188,4.641626
Y2P188,V3,10238.258,Y2P188,Y2,P188,10.238258
Y2P188,V4,8164.141,Y2P188,Y2,P188,8.164141
Y2P188,V5,3081.55,Y2P188,Y2,P188,3.08155
Y2P188,V6,3803.505,Y2P188,Y2,P188,3.803505
Y2P188,V7,1749.497,Y2P188,Y2,P188,1.749497
Y2P188,V8,4163.315,Y2P188,Y2,P188,4.163315
Y2P188,V9,2220.626,Y2P188,Y2,P188,2.220626
Y2P188,V10,763.43,Y2P188,Y2,P188,0.76343
Y2P188,V11,2220.626,Y2P188,Y2,P188,2.220626
Y2P188,V12,2568.946,Y2P188,Y2,P188,2.568946
Y2P188,V13,1696.172,Y2P188,Y2,P188,1.696172
Y2P188,V14,1678.756,Y2P188,Y2,P188,1.678756
Y2P188,V15,3191.612,Y2P188,Y2,P188,3.191612
Y2P188,V16,5665.757,Y2P188,Y2,P188,5.665757
Y2P188,V17,1295.066,Y2P188,Y2,P188,1.295066
Y3P062,V1,0,Y3P062,Y3,P062,0
Y3P062,V2,0,Y3P062,Y3,P062,0
Y3P062,V3,0,Y3P062,Y3,P062,0
Y3P062,V4,4818.12,Y3P062,Y3,P062,4.81812
Y3P062,V5,12409.509,Y3P062,Y3,P062,12.409509
Y3P062,V16,6537.812,Y3P062,Y3,P062,6.537812
Y3P062,V17,10825.553,Y3P062,Y3,P062,10.825553
Y3P125,V1,4410.011,Y3P125,Y3,P125,4.410011
Y3P125,V2,6534.581,Y3P125,Y3,P125,6.534581
Y3P125,V3,23832.053,Y3P125,Y3,P125,23.832053
Y3P125,V4,25384.947,Y3P125,Y3,P125,25.384947
Y3P125,V5,9941.288,Y3P125,Y3,P125,9.941288
Y3P125,V6,0,Y3P125,Y3,P125,0
Y3P125,V7,7773.449,Y3P125,Y3,P125,7.773449
Y3P125,V17,4099.935,Y3P125,Y3,P125,4.099935
Y3P188,V1,0,Y3P188,Y3,P188,0
Y3P188,V2,0,Y3P188,Y3,P188,0
Y3P188,V3,1223.966,Y3P188,Y3,P188,1.223966
