Hour,A1_Negative_Control,A2_L-Arabinose,A3_N-Acetyl-D_Glucosamine,A4_D-Saccharic_Acid,A5_Succinic_Acid,A6_D-Galactose,A7_L-Aspartic_Acid,A8_L-Proline,A9_D-Alanine,A10_D-Trehalose,A11_D-Mannose,A12_Dulcitol,B1_D-Serine,B2_D-Sorbitol,B3_Glycerol,B4_L-Fucose,B5_D-Glucuronic_Acid,B6_D-Gluconic_Acid,B7_D-L-a-Glycerol_Phosphate,B8_D-Xylose,B9_L-Lactic_Acid,B10_Formic_Acid,B11_D-Mannitol,B12_L-Glutamic_Acid,C1_D-Glucose-6-Phosphate,C2_D-GalactonicAcid-g-Lactone,C3_D-L-Malic_Acid,C4_D-Ribose,C5_Tween_20,C6_L-Rhamnose,C7_D-Fructose,C8_Acetic_Acid,C9_a-D-Glucose,C10_Maltose,C11_D-Melibiose,C12_Thymidine,D-1_L-Asparagine,D2_D-Aspartic_Acid,D3_D-Glucosaminic_Acid,D4_1-2-Propanediol,D5_Tween_40,D6_a-Keto-Glutaric_Acid,D7_a-Keto-Butyric_Acid,D8_a-Methyl-D_Galactoside,D9_a-D-Lactose,D10_Lactulose,D11_Sucrose,D12_Uridine,E1_L-Glutamine,E2_m-Tartaric_Acid,E3_D-Glucose-1-Phosphate,E4_D-Fructose-6-Phosphate,E5_Tween_80,E6_a-Hydroxy_Glutaric_Acid-g_Lactone,E7_a-Hydroxy_Butyric_Acid,E8_B-Methyl-D_Glucoside,E9_Adonitol,E10_Maltotriose,E11_2-DeoxyAdenosine,E12_Adenosine,F1_Glycyl-L-Aspartic_Acid,F2_Citric_Acid,F3_myo-Inositol,F4_D-Threonine,F5_Fumaric_Acid,F6_Bromo_Succinic_Acid,F7_Propionic_Acid,F8_Mucic_Acid,F9_Glycolic_Acid,F10_Glyoxylic_Acid,F11_D-Cellobiose,F12_Inosine,G1_Glycyl-L-Glutamic_Acid,G2_Tricarballylic_Acid,G3_L-Serine,G4_L-Threonine,G5_L-Alanine,G6_L-Alanyl-Glycine,G7_Acetoacetic_Acid,G8_N-Acetyl-B-D_Mannosamine,G9_Mono_Methyl_Succinate,G10_Methyl_Pyruvate,G11_D-Malic_Acid,G12_L-Malic_Acid,H1_Glycyl-L-Proline,H2_p-Hydroxy_Phenyl_AceticAcid,H3_m-Hydroxy_Phenyl_AceticAcid,H4_Tyramine,H5_D-Psicose,H6_L-Lyxose,H7_Glucuronamide,H8_Pyruvic_Acid,H9_L-Galactonic_Acid-g-Lactone,H10_D-GalacturonicAcid,H11_Phenylethylamine,H12_2-Aminoethanol
0.0,23.0,54.333333333333336,13.666666666666666,14.0,12.666666666666666,15.0,14.0,13.333333333333334,14.333333333333334,15.666666666666666,17.666666666666668,22.333333333333332,20.333333333333332,12.666666666666666,12.666666666666666,11.333333333333334,11.0,11.333333333333334,11.0,55.333333333333336,11.333333333333334,11.666666666666666,13.0,22.333333333333332,25.333333333333332,13.333333333333334,11.666666666666666,51.666666666666664,11.333333333333334,11.0,11.0,12.0,11.666666666666666,13.0,14.333333333333334,19.0,14.666666666666666,15.333333333333334,11.0,11.0,11.0,11.333333333333334,11.0,11.0,11.0,11.0,12.0,19.333333333333332,19.0,11.666666666666666,11.0,11.333333333333334,11.0,11.0,11.0,11.0,11.0,11.333333333333334,11.666666666666666,20.666666666666668,22.0,11.666666666666666,12.0,11.0,12.0,11.0,11.0,11.333333333333334,11.666666666666666,12.333333333333334,16.0,30.333333333333332,28.666666666666668,12.666666666666666,13.0,13.0,11.333333333333334,11.0,11.666666666666666,11.666666666666666,13.333333333333334,20.0,14.333333333333334,24.333333333333332,21.333333333333332,20.0,13.666666666666666,13.333333333333334,15.666666666666666,80.33333333333333,12.333333333333334,16.666666666666668,17.666666666666668,18.666666666666668,19.0,24.666666666666668
0.25,20.333333333333332,62.333333333333336,14.333333333333334,12.0,12.333333333333334,15.0,14.0,13.333333333333334,14.0,13.666666666666666,19.666666666666668,25.0,16.666666666666668,13.333333333333334,13.666666666666666,11.333333333333334,12.333333333333334,12.0,11.0,60.0,12.666666666666666,12.333333333333334,15.333333333333334,21.666666666666668,20.666666666666668,12.0,11.666666666666666,56.0,11.333333333333334,11.0,11.666666666666666,12.0,11.666666666666666,12.0,13.333333333333334,17.333333333333332,13.333333333333334,16.666666666666668,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.666666666666666,12.666666666666666,20.333333333333332,18.333333333333332,11.0,12.0,14.666666666666666,11.0,11.0,11.0,11.0,11.0,11.0,11.666666666666666,20.0,22.333333333333332,12.666666666666666,15.0,11.0,12.0,11.333333333333334,11.0,12.0,11.0,11.0,15.0,27.0,27.333333333333332,14.333333333333334,11.333333333333334,11.0,11.0,12.666666666666666,11.666666666666666,12.333333333333334,13.0,16.666666666666668,17.666666666666668,22.0,22.666666666666668,18.666666666666668,14.0,15.0,17.666666666666668,84.33333333333333,13.333333333333334,16.333333333333332,16.333333333333332,21.333333333333332,19.0,23.666666666666668
0.5,21.333333333333332,63.0,12.0,12.666666666666666,12.666666666666666,15.666666666666666,13.333333333333334,12.333333333333334,13.0,13.666666666666666,16.333333333333332,20.0,19.333333333333332,12.0,12.0,11.333333333333334,11.0,11.333333333333334,11.0,62.666666666666664,12.0,11.0,12.333333333333334,20.0,17.0,14.0,11.333333333333334,62.0,11.0,11.0,11.0,12.333333333333334,11.0,11.666666666666666,14.0,16.0,13.666666666666666,13.333333333333334,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.666666666666668,16.666666666666668,12.0,11.0,12.333333333333334,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.333333333333332,21.333333333333332,12.333333333333334,12.333333333333334,11.666666666666666,11.0,11.0,11.0,11.0,11.0,11.0,14.666666666666666,23.666666666666668,24.666666666666668,13.666666666666666,12.0,12.0,13.666666666666666,11.666666666666666,11.666666666666666,12.0,11.0,12.333333333333334,18.0,21.0,21.333333333333332,22.0,12.0,14.0,17.0,84.0,12.666666666666666,15.333333333333334,16.0,16.333333333333332,17.666666666666668,22.0
0.75,21.0,66.0,13.666666666666666,12.666666666666666,12.666666666666666,15.333333333333334,12.333333333333334,13.0,12.333333333333334,12.666666666666666,16.0,20.333333333333332,17.666666666666668,12.333333333333334,11.666666666666666,11.333333333333334,11.666666666666666,11.0,11.0,65.0,11.333333333333334,12.333333333333334,13.666666666666666,20.333333333333332,18.666666666666668,13.0,11.333333333333334,66.33333333333333,11.0,11.0,11.0,12.666666666666666,12.666666666666666,12.0,12.333333333333334,20.333333333333332,14.0,15.666666666666666,11.0,11.333333333333334,11.0,11.0,11.0,11.0,11.0,11.666666666666666,13.333333333333334,19.333333333333332,15.333333333333334,11.333333333333334,11.0,13.0,11.333333333333334,11.0,11.0,11.0,11.0,11.0,11.666666666666666,18.666666666666668,21.333333333333332,12.0,13.0,11.0,11.0,11.333333333333334,11.0,12.666666666666666,12.333333333333334,11.0,14.0,29.0,26.0,13.666666666666666,12.666666666666666,13.0,11.0,13.666666666666666,11.0,13.0,11.666666666666666,16.333333333333332,18.666666666666668,23.333333333333332,22.0,17.666666666666668,13.333333333333334,16.666666666666668,16.0,89.66666666666667,14.333333333333334,17.0,15.0,16.0,20.666666666666668,22.666666666666668
1.0,22.333333333333332,66.0,11.666666666666666,13.0,12.0,14.333333333333334,14.333333333333334,12.333333333333334,12.666666666666666,14.666666666666666,13.0,20.333333333333332,18.666666666666668,12.333333333333334,12.0,11.0,11.0,11.333333333333334,11.0,67.0,12.0,11.0,14.0,21.666666666666668,18.333333333333332,12.666666666666666,12.0,70.0,11.0,11.0,11.0,13.666666666666666,11.0,11.666666666666666,13.0,19.0,14.333333333333334,14.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.333333333333334,19.0,16.0,11.0,11.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,15.666666666666666,20.0,11.666666666666666,13.666666666666666,11.0,11.0,11.0,11.0,11.666666666666666,11.0,11.0,13.333333333333334,26.0,22.333333333333332,15.333333333333334,11.0,11.666666666666666,13.666666666666666,11.0,11.0,12.333333333333334,11.0,14.0,13.666666666666666,21.0,21.0,18.0,16.0,18.333333333333332,15.0,90.33333333333333,12.333333333333334,16.0,18.333333333333332,19.333333333333332,20.0,22.0
1.25,20.333333333333332,67.33333333333333,14.0,13.666666666666666,12.666666666666666,15.0,13.333333333333334,12.333333333333334,12.0,13.666666666666666,16.666666666666668,22.333333333333332,16.666666666666668,13.0,12.0,11.0,11.666666666666666,11.0,11.0,67.66666666666667,12.333333333333334,11.0,12.333333333333334,19.666666666666668,17.333333333333332,14.0,11.0,70.66666666666667,11.0,11.0,11.0,12.333333333333334,11.0,11.0,12.666666666666666,19.333333333333332,13.666666666666666,15.666666666666666,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.666666666666666,20.0,14.666666666666666,11.0,11.0,12.666666666666666,12.333333333333334,11.0,11.0,11.0,11.0,11.0,11.0,16.333333333333332,18.666666666666668,11.0,12.0,11.333333333333334,11.333333333333334,11.0,11.0,12.333333333333334,11.0,11.0,13.333333333333334,26.333333333333332,24.0,14.0,12.333333333333334,12.0,13.0,12.666666666666666,11.0,11.333333333333334,12.0,15.666666666666666,15.0,21.0,18.666666666666668,17.333333333333332,13.666666666666666,17.666666666666668,13.666666666666666,92.66666666666667,14.0,19.666666666666668,17.666666666666668,17.666666666666668,20.333333333333332,20.0
1.5,23.0,68.0,12.666666666666666,13.333333333333334,12.333333333333334,16.333333333333332,12.666666666666666,11.666666666666666,12.666666666666666,14.333333333333334,16.0,20.333333333333332,20.0,11.666666666666666,13.666666666666666,11.0,11.0,11.333333333333334,11.0,66.0,11.0,11.333333333333334,12.666666666666666,19.0,17.333333333333332,13.333333333333334,12.0,73.0,11.0,11.666666666666666,11.0,13.0,11.0,11.666666666666666,11.333333333333334,17.666666666666668,13.333333333333334,16.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,12.333333333333334,22.0,13.333333333333334,11.666666666666666,11.0,14.0,12.666666666666666,11.0,11.0,11.0,11.0,11.0,11.333333333333334,18.0,20.0,11.333333333333334,12.333333333333334,11.0,12.666666666666666,12.666666666666666,11.0,13.0,12.0,11.666666666666666,12.333333333333334,24.666666666666668,24.0,12.333333333333334,12.333333333333334,11.666666666666666,13.0,13.333333333333334,11.0,11.0,11.0,14.0,14.666666666666666,20.666666666666668,22.0,20.0,12.666666666666666,16.0,15.666666666666666,93.0,11.666666666666666,18.333333333333332,16.0,18.0,18.0,19.0
1.75,22.333333333333332,68.33333333333333,12.0,12.0,14.0,14.666666666666666,12.333333333333334,12.666666666666666,12.666666666666666,12.333333333333334,14.0,23.0,16.333333333333332,12.0,11.333333333333334,11.0,11.0,11.0,11.0,69.0,11.0,11.0,12.0,19.666666666666668,18.333333333333332,13.666666666666666,12.666666666666666,70.33333333333333,11.0,11.0,11.0,13.333333333333334,11.0,11.666666666666666,14.0,18.666666666666668,15.0,16.0,11.0,11.0,11.0,11.0,11.0,11.0,11.333333333333334,11.666666666666666,15.333333333333334,19.666666666666668,14.0,11.0,11.0,11.0,13.333333333333334,11.0,11.0,11.0,11.0,11.0,11.333333333333334,18.666666666666668,21.666666666666668,11.333333333333334,12.333333333333334,11.0,11.0,11.0,11.0,11.0,11.333333333333334,11.0,13.333333333333334,28.666666666666668,23.666666666666668,14.666666666666666,11.0,11.666666666666666,12.666666666666666,11.0,11.0,11.666666666666666,11.666666666666666,15.333333333333334,14.666666666666666,23.666666666666668,21.333333333333332,19.0,15.0,14.0,16.666666666666668,95.0,11.0,19.666666666666668,15.666666666666666,18.0,17.0,20.0
2.0,22.0,71.0,12.0,12.333333333333334,13.0,15.666666666666666,12.0,13.666666666666666,13.666666666666666,13.666666666666666,15.0,20.333333333333332,16.333333333333332,12.333333333333334,12.333333333333334,12.0,11.333333333333334,12.666666666666666,11.0,68.66666666666667,11.0,11.0,15.0,21.0,21.0,13.0,11.0,74.66666666666667,11.0,11.0,11.0,14.666666666666666,11.0,12.333333333333334,15.0,18.0,16.0,16.666666666666668,11.0,11.0,11.0,11.0,11.0,11.0,11.333333333333334,11.0,11.0,19.666666666666668,15.333333333333334,11.0,11.0,12.333333333333334,15.333333333333334,11.0,11.333333333333334,11.0,11.0,11.0,11.0,18.333333333333332,22.666666666666668,11.0,13.333333333333334,12.0,11.0,11.0,11.0,12.333333333333334,11.333333333333334,11.0,13.0,26.333333333333332,25.666666666666668,12.333333333333334,11.666666666666666,13.0,13.333333333333334,11.333333333333334,11.666666666666666,12.666666666666666,12.0,17.333333333333332,16.0,20.0,21.333333333333332,19.0,13.666666666666666,15.0,14.0,96.33333333333333,12.0,19.333333333333332,14.333333333333334,18.0,19.666666666666668,22.0
2.25,22.0,71.0,11.666666666666666,12.0,12.333333333333334,15.333333333333334,11.333333333333334,11.666666666666666,13.0,13.0,16.666666666666668,21.666666666666668,16.666666666666668,13.333333333333334,13.333333333333334,11.333333333333334,11.0,11.333333333333334,11.0,70.33333333333333,11.0,11.333333333333334,15.333333333333334,21.0,20.0,14.0,12.333333333333334,77.66666666666667,11.0,11.0,11.333333333333334,14.666666666666666,11.666666666666666,11.333333333333334,14.0,19.333333333333332,17.333333333333332,18.0,11.333333333333334,11.333333333333334,11.0,11.0,11.0,11.0,11.333333333333334,11.0,11.0,22.0,14.0,11.0,11.0,13.0,13.333333333333334,11.0,12.666666666666666,11.0,11.0,11.0,11.333333333333334,20.0,21.666666666666668,11.0,14.666666666666666,12.0,11.0,12.0,11.0,14.0,11.0,11.333333333333334,13.0,26.666666666666668,24.333333333333332,13.333333333333334,13.0,13.666666666666666,13.333333333333334,11.666666666666666,11.666666666666666,13.333333333333334,11.333333333333334,16.333333333333332,16.0,20.666666666666668,22.0,19.666666666666668,14.0,15.666666666666666,15.333333333333334,96.66666666666667,12.333333333333334,18.333333333333332,15.0,20.666666666666668,18.333333333333332,20.666666666666668
2.5,21.666666666666668,73.66666666666667,13.0,13.333333333333334,16.666666666666668,15.666666666666666,13.333333333333334,12.333333333333334,14.0,13.333333333333334,14.666666666666666,21.333333333333332,17.666666666666668,11.0,12.666666666666666,11.0,11.333333333333334,11.666666666666666,11.0,71.0,11.666666666666666,11.666666666666666,13.0,19.333333333333332,18.0,14.333333333333334,12.666666666666666,76.0,11.0,11.0,11.0,13.333333333333334,12.0,12.666666666666666,15.0,18.0,14.333333333333334,16.666666666666668,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.666666666666666,12.0,21.666666666666668,13.666666666666666,11.0,11.0,12.666666666666666,12.666666666666666,11.0,11.666666666666666,11.0,11.0,11.0,11.333333333333334,18.333333333333332,24.0,12.0,14.333333333333334,11.0,11.0,11.333333333333334,11.0,11.333333333333334,11.666666666666666,11.0,13.666666666666666,28.0,25.333333333333332,11.666666666666666,12.0,12.666666666666666,13.333333333333334,12.666666666666666,11.0,11.666666666666666,11.0,16.333333333333332,12.666666666666666,22.333333333333332,21.666666666666668,18.333333333333332,15.0,15.666666666666666,14.666666666666666,98.0,12.0,18.333333333333332,20.0,16.333333333333332,19.0,21.666666666666668
2.75,21.666666666666668,74.66666666666667,12.0,12.666666666666666,15.0,15.0,12.666666666666666,12.666666666666666,12.666666666666666,12.333333333333334,14.333333333333334,20.333333333333332,17.0,11.333333333333334,14.0,11.333333333333334,11.0,12.0,11.0,69.0,11.0,11.0,12.0,17.666666666666668,16.0,15.0,11.666666666666666,74.66666666666667,11.0,11.0,11.0,13.666666666666666,11.333333333333334,12.666666666666666,13.333333333333334,17.333333333333332,15.333333333333334,16.0,11.0,11.0,11.0,11.0,11.666666666666666,11.0,11.0,12.0,11.333333333333334,20.0,13.0,11.0,11.0,11.333333333333334,11.666666666666666,11.0,12.333333333333334,11.0,11.0,11.0,11.333333333333334,16.666666666666668,22.0,12.333333333333334,14.666666666666666,11.0,11.0,12.666666666666666,11.0,11.666666666666666,11.0,11.0,14.0,25.0,25.0,12.666666666666666,12.333333333333334,11.666666666666666,13.0,11.0,12.333333333333334,12.0,11.0,15.666666666666666,15.666666666666666,24.0,22.0,20.0,13.0,19.333333333333332,15.0,98.66666666666667,12.666666666666666,19.0,18.0,17.666666666666668,18.666666666666668,22.0
3.0,24.0,73.0,11.333333333333334,11.333333333333334,12.666666666666666,16.333333333333332,12.666666666666666,13.0,13.0,13.666666666666666,15.333333333333334,19.0,16.0,13.666666666666666,13.333333333333334,11.0,11.333333333333334,11.0,11.0,69.66666666666667,12.0,11.333333333333334,12.333333333333334,20.666666666666668,20.666666666666668,13.333333333333334,11.333333333333334,76.33333333333333,11.0,11.0,11.0,13.0,11.666666666666666,11.0,13.666666666666666,18.0,15.666666666666666,17.666666666666668,11.0,11.333333333333334,11.0,11.0,11.0,11.0,11.0,12.0,11.0,22.0,15.666666666666666,11.0,11.0,12.666666666666666,12.0,11.0,12.0,11.0,11.0,11.0,11.666666666666666,16.666666666666668,24.666666666666668,11.0,13.333333333333334,11.0,12.0,11.0,11.0,11.333333333333334,11.0,11.0,14.666666666666666,26.333333333333332,25.333333333333332,12.666666666666666,11.333333333333334,12.333333333333334,15.333333333333334,12.333333333333334,11.0,12.333333333333334,11.333333333333334,13.666666666666666,13.0,23.333333333333332,20.333333333333332,21.0,12.0,16.0,14.666666666666666,97.66666666666667,16.0,21.666666666666668,12.666666666666666,18.666666666666668,18.666666666666668,19.0
