Hour,A1_Negative_Control,A2_L-Arabinose,A3_N-Acetyl-D_Glucosamine,A4_D-Saccharic_Acid,A5_Succinic_Acid,A6_D-Galactose,A7_L-Aspartic_Acid,A8_L-Proline,A9_D-Alanine,A10_D-Trehalose,A11_D-Mannose,A12_Dulcitol,B1_D-Serine,B2_D-Sorbitol,B3_Glycerol,B4_L-Fucose,B5_D-Glucuronic_Acid,B6_D-Gluconic_Acid,B7_D-L-a-Glycerol_Phosphate,B8_D-Xylose,B9_L-Lactic_Acid,B10_Formic_Acid,B11_D-Mannitol,B12_L-Glutamic_Acid,C1_D-Glucose-6-Phosphate,C2_D-GalactonicAcid-g-Lactone,C3_D-L-Malic_Acid,C4_D-Ribose,C5_Tween_20,C6_L-Rhamnose,C7_D-Fructose,C8_Acetic_Acid,C9_a-D-Glucose,C10_Maltose,C11_D-Melibiose,C12_Thymidine,D-1_L-Asparagine,D2_D-Aspartic_Acid,D3_D-Glucosaminic_Acid,D4_1-2-Propanediol,D5_Tween_40,D6_a-Keto-Glutaric_Acid,D7_a-Keto-Butyric_Acid,D8_a-Methyl-D_Galactoside,D9_a-D-Lactose,D10_Lactulose,D11_Sucrose,D12_Uridine,E1_L-Glutamine,E2_m-Tartaric_Acid,E3_D-Glucose-1-Phosphate,E4_D-Fructose-6-Phosphate,E5_Tween_80,E6_a-Hydroxy_Glutaric_Acid-g_Lactone,E7_a-Hydroxy_Butyric_Acid,E8_B-Methyl-D_Glucoside,E9_Adonitol,E10_Maltotriose,E11_2-DeoxyAdenosine,E12_Adenosine,F1_Glycyl-L-Aspartic_Acid,F2_Citric_Acid,F3_myo-Inositol,F4_D-Threonine,F5_Fumaric_Acid,F6_Bromo_Succinic_Acid,F7_Propionic_Acid,F8_Mucic_Acid,F9_Glycolic_Acid,F10_Glyoxylic_Acid,F11_D-Cellobiose,F12_Inosine,G1_Glycyl-L-Glutamic_Acid,G2_Tricarballylic_Acid,G3_L-Serine,G4_L-Threonine,G5_L-Alanine,G6_L-Alanyl-Glycine,G7_Acetoacetic_Acid,G8_N-Acetyl-B-D_Mannosamine,G9_Mono_Methyl_Succinate,G10_Methyl_Pyruvate,G11_D-Malic_Acid,G12_L-Malic_Acid,H1_Glycyl-L-Proline,H2_p-Hydroxy_Phenyl_AceticAcid,H3_m-Hydroxy_Phenyl_AceticAcid,H4_Tyramine,H5_D-Psicose,H6_L-Lyxose,H7_Glucuronamide,H8_Pyruvic_Acid,H9_L-Galactonic_Acid-g-Lactone,H10_D-GalacturonicAcid,H11_Phenylethylamine,H12_2-Aminoethanol
0,23,54.33333333,13.66666667,14,12.66666667,15,14,13.33333333,14.33333333,15.66666667,17.66666667,22.33333333,20.33333333,12.66666667,12.66666667,11.33333333,11,11.33333333,11,55.33333333,11.33333333,11.66666667,13,22.33333333,25.33333333,13.33333333,11.66666667,51.66666667,11.33333333,11,11,12,11.66666667,13,14.33333333,19,14.66666667,15.33333333,11,11,11,11.33333333,11,11,11,11,12,19.33333333,19,11.66666667,11,11.33333333,11,11,11,11,11,11.33333333,11.66666667,20.66666667,22,11.66666667,12,11,12,11,11,11.33333333,11.66666667,12.33333333,16,30.33333333,28.66666667,12.66666667,13,13,11.33333333,11,11.66666667,11.66666667,13.33333333,20,14.33333333,24.33333333,21.33333333,20,13.66666667,13.33333333,15.66666667,80.33333333,12.33333333,16.66666667,17.66666667,18.66666667,19,24.66666667
0.25,20.33333333,62.33333333,14.33333333,12,12.33333333,15,14,13.33333333,14,13.66666667,19.66666667,25,16.66666667,13.33333333,13.66666667,11.33333333,12.33333333,12,11,60,12.66666667,12.33333333,15.33333333,21.66666667,20.66666667,12,11.66666667,56,11.33333333,11,11.66666667,12,11.66666667,12,13.33333333,17.33333333,13.33333333,16.66666667,11,11,11,11,11,11,11,11.66666667,12.66666667,20.33333333,18.33333333,11,12,14.66666667,11,11,11,11,11,11,11.66666667,20,22.33333333,12.66666667,15,11,12,11.33333333,11,12,11,11,15,27,27.33333333,14.33333333,11.33333333,11,11,12.66666667,11.66666667,12.33333333,13,16.66666667,17.66666667,22,22.66666667,18.66666667,14,15,17.66666667,84.33333333,13.33333333,16.33333333,16.33333333,21.33333333,19,23.66666667
0.5,21.33333333,63,12,12.66666667,12.66666667,15.66666667,13.33333333,12.33333333,13,13.66666667,16.33333333,20,19.33333333,12,12,11.33333333,11,11.33333333,11,62.66666667,12,11,12.33333333,20,17,14,11.33333333,62,11,11,11,12.33333333,11,11.66666667,14,16,13.66666667,13.33333333,11,11,11,11,11,11,11,11,11,18.66666667,16.66666667,12,11,12.33333333,11,11,11,11,11,11,11,17.33333333,21.33333333,12.33333333,12.33333333,11.66666667,11,11,11,11,11,11,14.66666667,23.66666667,24.66666667,13.66666667,12,12,13.66666667,11.66666667,11.66666667,12,11,12.33333333,18,21,21.33333333,22,12,14,17,84,12.66666667,15.33333333,16,16.33333333,17.66666667,22
0.75,21,66,13.66666667,12.66666667,12.66666667,15.33333333,12.33333333,13,12.33333333,12.66666667,16,20.33333333,17.66666667,12.33333333,11.66666667,11.33333333,11.66666667,11,11,65,11.33333333,12.33333333,13.66666667,20.33333333,18.66666667,13,11.33333333,66.33333333,11,11,11,12.66666667,12.66666667,12,12.33333333,20.33333333,14,15.66666667,11,11.33333333,11,11,11,11,11,11.66666667,13.33333333,19.33333333,15.33333333,11.33333333,11,13,11.33333333,11,11,11,11,11,11.66666667,18.66666667,21.33333333,12,13,11,11,11.33333333,11,12.66666667,12.33333333,11,14,29,26,13.66666667,12.66666667,13,11,13.66666667,11,13,11.66666667,16.33333333,18.66666667,23.33333333,22,17.66666667,13.33333333,16.66666667,16,89.66666667,14.33333333,17,15,16,20.66666667,22.66666667
1,22.33333333,66,11.66666667,13,12,14.33333333,14.33333333,12.33333333,12.66666667,14.66666667,13,20.33333333,18.66666667,12.33333333,12,11,11,11.33333333,11,67,12,11,14,21.66666667,18.33333333,12.66666667,12,70,11,11,11,13.66666667,11,11.66666667,13,19,14.33333333,14,11,11,11,11,11,11,11,11,13.33333333,19,16,11,11,12,12,11,11,11,11,11,11,15.66666667,20,11.66666667,13.66666667,11,11,11,11,11.66666667,11,11,13.33333333,26,22.33333333,15.33333333,11,11.66666667,13.66666667,11,11,12.33333333,11,14,13.66666667,21,21,18,16,18.33333333,15,90.33333333,12.33333333,16,18.33333333,19.33333333,20,22
1.25,20.33333333,67.33333333,14,13.66666667,12.66666667,15,13.33333333,12.33333333,12,13.66666667,16.66666667,22.33333333,16.66666667,13,12,11,11.66666667,11,11,67.66666667,12.33333333,11,12.33333333,19.66666667,17.33333333,14,11,70.66666667,11,11,11,12.33333333,11,11,12.66666667,19.33333333,13.66666667,15.66666667,11,12,11,11,11,11,11,11,11.66666667,20,14.66666667,11,11,12.66666667,12.33333333,11,11,11,11,11,11,16.33333333,18.66666667,11,12,11.33333333,11.33333333,11,11,12.33333333,11,11,13.33333333,26.33333333,24,14,12.33333333,12,13,12.66666667,11,11.33333333,12,15.66666667,15,21,18.66666667,17.33333333,13.66666667,17.66666667,13.66666667,92.66666667,14,19.66666667,17.66666667,17.66666667,20.33333333,20
1.5,23,68,12.66666667,13.33333333,12.33333333,16.33333333,12.66666667,11.66666667,12.66666667,14.33333333,16,20.33333333,20,11.66666667,13.66666667,11,11,11.33333333,11,66,11,11.33333333,12.66666667,19,17.33333333,13.33333333,12,73,11,11.66666667,11,13,11,11.66666667,11.33333333,17.66666667,13.33333333,16,11,11,11,11,11,11,11,13,12.33333333,22,13.33333333,11.66666667,11,14,12.66666667,11,11,11,11,11,11.33333333,18,20,11.33333333,12.33333333,11,12.66666667,12.66666667,11,13,12,11.66666667,12.33333333,24.66666667,24,12.33333333,12.33333333,11.66666667,13,13.33333333,11,11,11,14,14.66666667,20.66666667,22,20,12.66666667,16,15.66666667,93,11.66666667,18.33333333,16,18,18,19
1.75,22.33333333,68.33333333,12,12,14,14.66666667,12.33333333,12.66666667,12.66666667,12.33333333,14,23,16.33333333,12,11.33333333,11,11,11,11,69,11,11,12,19.66666667,18.33333333,13.66666667,12.66666667,70.33333333,11,11,11,13.33333333,11,11.66666667,14,18.66666667,15,16,11,11,11,11,11,11,11.33333333,11.66666667,15.33333333,19.66666667,14,11,11,11,13.33333333,11,11,11,11,11,11.33333333,18.66666667,21.66666667,11.33333333,12.33333333,11,11,11,11,11,11.33333333,11,13.33333333,28.66666667,23.66666667,14.66666667,11,11.66666667,12.66666667,11,11,11.66666667,11.66666667,15.33333333,14.66666667,23.66666667,21.33333333,19,15,14,16.66666667,95,11,19.66666667,15.66666667,18,17,20
2,22,71,12,12.33333333,13,15.66666667,12,13.66666667,13.66666667,13.66666667,15,20.33333333,16.33333333,12.33333333,12.33333333,12,11.33333333,12.66666667,11,68.66666667,11,11,15,21,21,13,11,74.66666667,11,11,11,14.66666667,11,12.33333333,15,18,16,16.66666667,11,11,11,11,11,11,11.33333333,11,11,19.66666667,15.33333333,11,11,12.33333333,15.33333333,11,11.33333333,11,11,11,11,18.33333333,22.66666667,11,13.33333333,12,11,11,11,12.33333333,11.33333333,11,13,26.33333333,25.66666667,12.33333333,11.66666667,13,13.33333333,11.33333333,11.66666667,12.66666667,12,17.33333333,16,20,21.33333333,19,13.66666667,15,14,96.33333333,12,19.33333333,14.33333333,18,19.66666667,22
2.25,22,71,11.66666667,12,12.33333333,15.33333333,11.33333333,11.66666667,13,13,16.66666667,21.66666667,16.66666667,13.33333333,13.33333333,11.33333333,11,11.33333333,11,70.33333333,11,11.33333333,15.33333333,21,20,14,12.33333333,77.66666667,11,11,11.33333333,14.66666667,11.66666667,11.33333333,14,19.33333333,17.33333333,18,11.33333333,11.33333333,11,11,11,11,11.33333333,11,11,22,14,11,11,13,13.33333333,11,12.66666667,11,11,11,11.33333333,20,21.66666667,11,14.66666667,12,11,12,11,14,11,11.33333333,13,26.66666667,24.33333333,13.33333333,13,13.66666667,13.33333333,11.66666667,11.66666667,13.33333333,11.33333333,16.33333333,16,20.66666667,22,19.66666667,14,15.66666667,15.33333333,96.66666667,12.33333333,18.33333333,15,20.66666667,18.33333333,20.66666667
