Hour,Type,Value
0.0,A1_Negative_Control,21
0.25,A1_Negative_Control,18
0.5,A1_Negative_Control,18
0.75,A1_Negative_Control,17
1.0,A1_Negative_Control,17
1.25,A1_Negative_Control,17
1.5,A1_Negative_Control,17
1.75,A1_Negative_Control,17
2.0,A1_Negative_Control,17
2.25,A1_Negative_Control,16
2.5,A1_Negative_Control,14
2.75,A1_Negative_Control,16
3.0,A1_Negative_Control,17
3.25,A1_Negative_Control,17
3.5,A1_Negative_Control,16
3.75,A1_Negative_Control,17
4.0,A1_Negative_Control,19
4.25,A1_Negative_Control,19
4.5,A1_Negative_Control,12
4.75,A1_Negative_Control,14
5.0,A1_Negative_Control,15
5.25,A1_Negative_Control,14
5.5,A1_Negative_Control,18
5.75,A1_Negative_Control,16
6.0,A1_Negative_Control,23
6.25,A1_Negative_Control,20
6.5,A1_Negative_Control,15
6.75,A1_Negative_Control,24
7.0,A1_Negative_Control,18
7.25,A1_Negative_Control,19
7.5,A1_Negative_Control,22
7.75,A1_Negative_Control,18
8.0,A1_Negative_Control,22
8.25,A1_Negative_Control,29
8.5,A1_Negative_Control,25
8.75,A1_Negative_Control,24
9.0,A1_Negative_Control,26
9.25,A1_Negative_Control,24
9.5,A1_Negative_Control,26
9.75,A1_Negative_Control,24
10.0,A1_Negative_Control,28
10.25,A1_Negative_Control,27
10.5,A1_Negative_Control,33
10.75,A1_Negative_Control,30
11.0,A1_Negative_Control,32
11.25,A1_Negative_Control,34
11.5,A1_Negative_Control,32
11.75,A1_Negative_Control,34
12.0,A1_Negative_Control,31
12.25,A1_Negative_Control,39
12.5,A1_Negative_Control,40
12.75,A1_Negative_Control,41
13.0,A1_Negative_Control,41
13.25,A1_Negative_Control,45
13.5,A1_Negative_Control,47
13.75,A1_Negative_Control,45
14.0,A1_Negative_Control,41
14.25,A1_Negative_Control,51
14.5,A1_Negative_Control,53
14.75,A1_Negative_Control,53
15.0,A1_Negative_Control,51
15.25,A1_Negative_Control,50
15.5,A1_Negative_Control,56
15.75,A1_Negative_Control,54
16.0,A1_Negative_Control,58
16.25,A1_Negative_Control,57
16.5,A1_Negative_Control,66
16.75,A1_Negative_Control,63
17.0,A1_Negative_Control,67
17.25,A1_Negative_Control,68
17.5,A1_Negative_Control,62
17.75,A1_Negative_Control,66
18.0,A1_Negative_Control,66
18.25,A1_Negative_Control,78
18.5,A1_Negative_Control,73
18.75,A1_Negative_Control,75
19.0,A1_Negative_Control,75
19.25,A1_Negative_Control,72
19.5,A1_Negative_Control,76
19.75,A1_Negative_Control,74
20.0,A1_Negative_Control,73
20.25,A1_Negative_Control,76
20.5,A1_Negative_Control,78
20.75,A1_Negative_Control,81
21.0,A1_Negative_Control,77
21.25,A1_Negative_Control,83
21.5,A1_Negative_Control,78
21.75,A1_Negative_Control,77
22.0,A1_Negative_Control,78
22.25,A1_Negative_Control,79
22.5,A1_Negative_Control,83
22.75,A1_Negative_Control,82
23.0,A1_Negative_Control,78
23.25,A1_Negative_Control,79
23.5,A1_Negative_Control,80
23.75,A1_Negative_Control,84
24.0,A1_Negative_Control,86
