Hour,Type,Value
0.0,A1_Negative_Control,14
0.25,A1_Negative_Control,29
0.5,A1_Negative_Control,25
0.75,A1_Negative_Control,28
1.0,A1_Negative_Control,24
1.25,A1_Negative_Control,22
1.5,A1_Negative_Control,23
1.75,A1_Negative_Control,22
2.0,A1_Negative_Control,22
2.25,A1_Negative_Control,22
2.5,A1_Negative_Control,22
2.75,A1_Negative_Control,21
3.0,A1_Negative_Control,22
3.25,A1_Negative_Control,20
3.5,A1_Negative_Control,25
3.75,A1_Negative_Control,22
4.0,A1_Negative_Control,20
4.25,A1_Negative_Control,28
4.5,A1_Negative_Control,27
4.75,A1_Negative_Control,24
5.0,A1_Negative_Control,29
5.25,A1_Negative_Control,29
5.5,A1_Negative_Control,35
5.75,A1_Negative_Control,30
6.0,A1_Negative_Control,24
6.25,A1_Negative_Control,34
6.5,A1_Negative_Control,30
6.75,A1_Negative_Control,37
7.0,A1_Negative_Control,37
7.25,A1_Negative_Control,37
7.5,A1_Negative_Control,36
7.75,A1_Negative_Control,38
8.0,A1_Negative_Control,40
8.25,A1_Negative_Control,37
8.5,A1_Negative_Control,38
8.75,A1_Negative_Control,37
9.0,A1_Negative_Control,42
9.25,A1_Negative_Control,37
9.5,A1_Negative_Control,36
9.75,A1_Negative_Control,36
10.0,A1_Negative_Control,37
10.25,A1_Negative_Control,36
10.5,A1_Negative_Control,42
10.75,A1_Negative_Control,42
11.0,A1_Negative_Control,37
11.25,A1_Negative_Control,43
11.5,A1_Negative_Control,42
11.75,A1_Negative_Control,39
12.0,A1_Negative_Control,41
12.25,A1_Negative_Control,43
12.5,A1_Negative_Control,38
12.75,A1_Negative_Control,43
13.0,A1_Negative_Control,37
13.25,A1_Negative_Control,41
13.5,A1_Negative_Control,45
13.75,A1_Negative_Control,40
14.0,A1_Negative_Control,40
14.25,A1_Negative_Control,40
14.5,A1_Negative_Control,42
14.75,A1_Negative_Control,37
15.0,A1_Negative_Control,41
15.25,A1_Negative_Control,45
15.5,A1_Negative_Control,41
15.75,A1_Negative_Control,44
16.0,A1_Negative_Control,41
16.25,A1_Negative_Control,41
16.5,A1_Negative_Control,43
16.75,A1_Negative_Control,41
17.0,A1_Negative_Control,42
17.25,A1_Negative_Control,48
17.5,A1_Negative_Control,41
17.75,A1_Negative_Control,42
18.0,A1_Negative_Control,42
18.25,A1_Negative_Control,44
18.5,A1_Negative_Control,49
18.75,A1_Negative_Control,42
19.0,A1_Negative_Control,40
19.25,A1_Negative_Control,44
19.5,A1_Negative_Control,44
19.75,A1_Negative_Control,46
20.0,A1_Negative_Control,43
20.25,A1_Negative_Control,44
20.5,A1_Negative_Control,48
20.75,A1_Negative_Control,44
21.0,A1_Negative_Control,43
21.25,A1_Negative_Control,45
21.5,A1_Negative_Control,40
21.75,A1_Negative_Control,43
22.0,A1_Negative_Control,44
22.25,A1_Negative_Control,48
22.5,A1_Negative_Control,42
22.75,A1_Negative_Control,48
23.0,A1_Negative_Control,44
23.25,A1_Negative_Control,43
23.5,A1_Negative_Control,49
23.75,A1_Negative_Control,51
24.0,A1_Negative_Control,45
24.25,A1_Negative_Control,45
24.5,A1_Negative_Control,48
24.75,A1_Negative_Control,44
25.0,A1_Negative_Control,43
25.25,A1_Negative_Control,42
25.5,A1_Negative_Control,43
25.75,A1_Negative_Control,45
26.0,A1_Negative_Control,44
26.25,A1_Negative_Control,47
26.5,A1_Negative_Control,42
26.75,A1_Negative_Control,47
27.0,A1_Negative_Control,46
27.25,A1_Negative_Control,51
27.5,A1_Negative_Control,45
27.75,A1_Negative_Control,44
28.0,A1_Negative_Control,43
28.25,A1_Negative_Control,47
28.5,A1_Negative_Control,47
28.75,A1_Negative_Control,43
29.0,A1_Negative_Control,44
29.25,A1_Negative_Control,42
29.5,A1_Negative_Control,50
29.75,A1_Negative_Control,48
30.0,A1_Negative_Control,45
30.25,A1_Negative_Control,43
30.5,A1_Negative_Control,46
30.75,A1_Negative_Control,48
31.0,A1_Negative_Control,47
31.25,A1_Negative_Control,48
31.5,A1_Negative_Control,49
31.75,A1_Negative_Control,48
32.0,A1_Negative_Control,50
32.25,A1_Negative_Control,48
32.5,A1_Negative_Control,52
32.75,A1_Negative_Control,50
33.0,A1_Negative_Control,48
33.25,A1_Negative_Control,48
33.5,A1_Negative_Control,44
33.75,A1_Negative_Control,48
34.0,A1_Negative_Control,53
34.25,A1_Negative_Control,48
34.5,A1_Negative_Control,53
34.75,A1_Negative_Control,48
35.0,A1_Negative_Control,45
35.25,A1_Negative_Control,49
35.5,A1_Negative_Control,45
35.75,A1_Negative_Control,47
36.0,A1_Negative_Control,50
36.25,A1_Negative_Control,53
36.5,A1_Negative_Control,46
36.75,A1_Negative_Control,51
37.0,A1_Negative_Control,51
37.25,A1_Negative_Control,48
37.5,A1_Negative_Control,48
37.75,A1_Negative_Control,48
38.0,A1_Negative_Control,51
38.25,A1_Negative_Control,49
38.5,A1_Negative_Control,53
38.75,A1_Negative_Control,48
39.0,A1_Negative_Control,46
39.25,A1_Negative_Control,50
39.5,A1_Negative_Control,49
39.75,A1_Negative_Control,44
40.0,A1_Negative_Control,47
40.25,A1_Negative_Control,51
40.5,A1_Negative_Control,45
40.75,A1_Negative_Control,44
41.0,A1_Negative_Control,46
41.25,A1_Negative_Control,43
41.5,A1_Negative_Control,43
41.75,A1_Negative_Control,50
42.0,A1_Negative_Control,52
42.25,A1_Negative_Control,47
42.5,A1_Negative_Control,42
42.75,A1_Negative_Control,50
43.0,A1_Negative_Control,48
43.25,A1_Negative_Control,44
43.5,A1_Negative_Control,46
43.75,A1_Negative_Control,47
44.0,A1_Negative_Control,47
44.25,A1_Negative_Control,49
44.5,A1_Negative_Control,51
44.75,A1_Negative_Control,48
45.0,A1_Negative_Control,50
45.25,A1_Negative_Control,53
45.5,A1_Negative_Control,49
45.75,A1_Negative_Control,51
46.0,A1_Negative_Control,45
46.25,A1_Negative_Control,49
46.5,A1_Negative_Control,52
46.75,A1_Negative_Control,47
47.0,A1_Negative_Control,50
47.25,A1_Negative_Control,47
47.5,A1_Negative_Control,0
0.0,A2_L-Arabinose,46
0.25,A2_L-Arabinose,46
0.5,A2_L-Arabinose,52
0.75,A2_L-Arabinose,56
1.0,A2_L-Arabinose,55
1.25,A2_L-Arabinose,57
1.5,A2_L-Arabinose,56
1.75,A2_L-Arabinose,55
2.0,A2_L-Arabinose,58
2.25,A2_L-Arabinose,56
2.5,A2_L-Arabinose,56
2.75,A2_L-Arabinose,58
3.0,A2_L-Arabinose,60
3.25,A2_L-Arabinose,59
3.5,A2_L-Arabinose,59
3.75,A2_L-Arabinose,58
4.0,A2_L-Arabinose,59
4.25,A2_L-Arabinose,64
4.5,A2_L-Arabinose,62
4.75,A2_L-Arabinose,62
5.0,A2_L-Arabinose,63
5.25,A2_L-Arabinose,62
5.5,A2_L-Arabinose,61
5.75,A2_L-Arabinose,63
6.0,A2_L-Arabinose,68
6.25,A2_L-Arabinose,69
6.5,A2_L-Arabinose,66
6.75,A2_L-Arabinose,70
7.0,A2_L-Arabinose,71
7.25,A2_L-Arabinose,74
7.5,A2_L-Arabinose,76
7.75,A2_L-Arabinose,80
8.0,A2_L-Arabinose,86
8.25,A2_L-Arabinose,90
8.5,A2_L-Arabinose,96
8.75,A2_L-Arabinose,98
9.0,A2_L-Arabinose,109
9.25,A2_L-Arabinose,115
9.5,A2_L-Arabinose,121
9.75,A2_L-Arabinose,127
10.0,A2_L-Arabinose,140
10.25,A2_L-Arabinose,145
10.5,A2_L-Arabinose,152
10.75,A2_L-Arabinose,157
11.0,A2_L-Arabinose,165
11.25,A2_L-Arabinose,169
11.5,A2_L-Arabinose,178
11.75,A2_L-Arabinose,184
12.0,A2_L-Arabinose,184
12.25,A2_L-Arabinose,197
12.5,A2_L-Arabinose,201
12.75,A2_L-Arabinose,203
13.0,A2_L-Arabinose,210
13.25,A2_L-Arabinose,219
13.5,A2_L-Arabinose,227
13.75,A2_L-Arabinose,228
14.0,A2_L-Arabinose,233
14.25,A2_L-Arabinose,235
14.5,A2_L-Arabinose,236
14.75,A2_L-Arabinose,240
15.0,A2_L-Arabinose,245
15.25,A2_L-Arabinose,245
15.5,A2_L-Arabinose,248
15.75,A2_L-Arabinose,254
16.0,A2_L-Arabinose,256
16.25,A2_L-Arabinose,259
16.5,A2_L-Arabinose,256
16.75,A2_L-Arabinose,266
17.0,A2_L-Arabinose,264
17.25,A2_L-Arabinose,268
17.5,A2_L-Arabinose,268
17.75,A2_L-Arabinose,270
18.0,A2_L-Arabinose,270
18.25,A2_L-Arabinose,271
18.5,A2_L-Arabinose,269
18.75,A2_L-Arabinose,269
19.0,A2_L-Arabinose,268
19.25,A2_L-Arabinose,275
19.5,A2_L-Arabinose,273
19.75,A2_L-Arabinose,277
20.0,A2_L-Arabinose,274
20.25,A2_L-Arabinose,278
20.5,A2_L-Arabinose,280
20.75,A2_L-Arabinose,276
21.0,A2_L-Arabinose,278
21.25,A2_L-Arabinose,279
21.5,A2_L-Arabinose,278
