Hour,Type,Value
0.0,A1_Negative_Control,23.0
0.25,A1_Negative_Control,20.33333333333333
0.5,A1_Negative_Control,21.33333333333333
0.75,A1_Negative_Control,21.0
1.0,A1_Negative_Control,22.33333333333333
1.25,A1_Negative_Control,20.33333333333333
1.5,A1_Negative_Control,23.0
1.75,A1_Negative_Control,22.33333333333333
2.0,A1_Negative_Control,22.0
2.25,A1_Negative_Control,22.0
2.5,A1_Negative_Control,21.666666666666668
2.75,A1_Negative_Control,21.666666666666668
3.0,A1_Negative_Control,24.0
3.25,A1_Negative_Control,23.33333333333333
3.5,A1_Negative_Control,24.33333333333333
3.75,A1_Negative_Control,25.33333333333333
4.0,A1_Negative_Control,24.666666666666668
4.25,A1_Negative_Control,25.666666666666668
4.5,A1_Negative_Control,22.0
4.75,A1_Negative_Control,24.666666666666668
5.0,A1_Negative_Control,27.33333333333333
5.25,A1_Negative_Control,24.0
5.5,A1_Negative_Control,28.0
5.75,A1_Negative_Control,29.666666666666668
6.0,A1_Negative_Control,31.33333333333333
6.25,A1_Negative_Control,31.33333333333333
6.5,A1_Negative_Control,28.0
6.75,A1_Negative_Control,35.0
7.0,A1_Negative_Control,31.0
7.25,A1_Negative_Control,33.0
7.5,A1_Negative_Control,35.333333333333336
7.75,A1_Negative_Control,33.333333333333336
8.0,A1_Negative_Control,34.333333333333336
8.25,A1_Negative_Control,41.0
8.5,A1_Negative_Control,38.0
8.75,A1_Negative_Control,41.333333333333336
9.0,A1_Negative_Control,41.66666666666666
9.25,A1_Negative_Control,40.0
9.5,A1_Negative_Control,42.333333333333336
9.75,A1_Negative_Control,39.0
10.0,A1_Negative_Control,41.333333333333336
10.25,A1_Negative_Control,40.66666666666666
10.5,A1_Negative_Control,46.0
10.75,A1_Negative_Control,44.333333333333336
11.0,A1_Negative_Control,43.66666666666666
11.25,A1_Negative_Control,46.66666666666666
11.5,A1_Negative_Control,45.0
11.75,A1_Negative_Control,50.66666666666666
12.0,A1_Negative_Control,49.333333333333336
12.25,A1_Negative_Control,50.0
12.5,A1_Negative_Control,51.0
12.75,A1_Negative_Control,55.0
13.0,A1_Negative_Control,55.66666666666666
13.25,A1_Negative_Control,57.333333333333336
13.5,A1_Negative_Control,56.333333333333336
13.75,A1_Negative_Control,55.333333333333336
14.0,A1_Negative_Control,52.66666666666666
14.25,A1_Negative_Control,60.333333333333336
14.5,A1_Negative_Control,60.66666666666666
14.75,A1_Negative_Control,59.0
15.0,A1_Negative_Control,59.0
15.25,A1_Negative_Control,61.0
15.5,A1_Negative_Control,62.66666666666666
15.75,A1_Negative_Control,64.0
16.0,A1_Negative_Control,62.0
16.25,A1_Negative_Control,63.0
16.5,A1_Negative_Control,68.33333333333333
16.75,A1_Negative_Control,62.0
17.0,A1_Negative_Control,64.66666666666667
17.25,A1_Negative_Control,67.33333333333333
17.5,A1_Negative_Control,67.66666666666667
17.75,A1_Negative_Control,69.33333333333333
18.0,A1_Negative_Control,66.0
18.25,A1_Negative_Control,71.33333333333333
18.5,A1_Negative_Control,67.0
18.75,A1_Negative_Control,69.33333333333333
19.0,A1_Negative_Control,69.0
19.25,A1_Negative_Control,66.33333333333333
19.5,A1_Negative_Control,72.33333333333333
19.75,A1_Negative_Control,70.33333333333333
20.0,A1_Negative_Control,68.0
20.25,A1_Negative_Control,73.66666666666667
20.5,A1_Negative_Control,70.33333333333333
20.75,A1_Negative_Control,75.0
21.0,A1_Negative_Control,74.0
21.25,A1_Negative_Control,72.33333333333333
21.5,A1_Negative_Control,71.66666666666667
21.75,A1_Negative_Control,70.0
22.0,A1_Negative_Control,72.33333333333333
22.25,A1_Negative_Control,70.33333333333333
22.5,A1_Negative_Control,76.66666666666667
22.75,A1_Negative_Control,75.33333333333333
23.0,A1_Negative_Control,74.66666666666667
23.25,A1_Negative_Control,72.33333333333333
23.5,A1_Negative_Control,73.0
23.75,A1_Negative_Control,75.33333333333333
24.0,A1_Negative_Control,74.66666666666667
24.25,A1_Negative_Control,76.0
24.5,A1_Negative_Control,75.33333333333333
24.75,A1_Negative_Control,74.66666666666667
25.0,A1_Negative_Control,76.0
25.25,A1_Negative_Control,71.33333333333333
25.5,A1_Negative_Control,73.33333333333333
25.75,A1_Negative_Control,75.0
26.0,A1_Negative_Control,78.66666666666667
26.25,A1_Negative_Control,77.0
26.5,A1_Negative_Control,77.33333333333333
26.75,A1_Negative_Control,78.0
27.0,A1_Negative_Control,76.66666666666667
27.25,A1_Negative_Control,81.0
27.5,A1_Negative_Control,80.0
27.75,A1_Negative_Control,78.66666666666667
28.0,A1_Negative_Control,77.66666666666667
28.25,A1_Negative_Control,77.0
28.5,A1_Negative_Control,78.33333333333333
28.75,A1_Negative_Control,78.66666666666667
29.0,A1_Negative_Control,74.66666666666667
29.25,A1_Negative_Control,80.0
29.5,A1_Negative_Control,75.33333333333333
29.75,A1_Negative_Control,79.66666666666667
30.0,A1_Negative_Control,76.33333333333333
30.25,A1_Negative_Control,81.66666666666667
30.5,A1_Negative_Control,82.66666666666667
30.75,A1_Negative_Control,81.0
31.0,A1_Negative_Control,78.66666666666667
31.25,A1_Negative_Control,81.33333333333333
31.5,A1_Negative_Control,80.66666666666667
31.75,A1_Negative_Control,78.66666666666667
32.0,A1_Negative_Control,84.66666666666667
32.25,A1_Negative_Control,79.66666666666667
32.5,A1_Negative_Control,82.0
32.75,A1_Negative_Control,81.66666666666667
33.0,A1_Negative_Control,85.0
33.25,A1_Negative_Control,80.33333333333333
33.5,A1_Negative_Control,82.0
33.75,A1_Negative_Control,78.33333333333333
34.0,A1_Negative_Control,82.66666666666667
34.25,A1_Negative_Control,80.33333333333333
34.5,A1_Negative_Control,81.0
34.75,A1_Negative_Control,82.33333333333333
35.0,A1_Negative_Control,85.0
35.25,A1_Negative_Control,83.66666666666667
35.5,A1_Negative_Control,76.33333333333333
35.75,A1_Negative_Control,84.66666666666667
36.0,A1_Negative_Control,80.33333333333333
36.25,A1_Negative_Control,84.0
